PARTY,Q2A_C,Q2A_D,Q2A_F,Q2B_A,Q2B_B,Q2B_C,Q2B_D,Q2B_E,Q2B_F,Q2B_G,Q2B_H,Q2B_I,Q2B_J,Q2B_K,Q2B_L,Q2B_M,Q2B_N,Q2B_O,Q2B_P,demFav,Q2A_A,Q2A_B,Q2A_E,repFav,cDemFav,zDemFav,zRepFav
Independent,3,4,3,2,NA,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.714285714,4,NA,4,1,-0.61857577,-0.771671509,-1.247853227
Independent,2,3,2,2,NA,1,3,2,4,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2.8,4,NA,4,1,0.467138516,0.582753967,-1.247853227
Independent,4,4,4,3,4,3,4,4,4,NA,NA,NA,3,3,NA,4,NA,3,4,1.357142857,2,NA,2,3,-0.975718627,-1.217206205,1.26601897
Republican,4,4,4,4,4,4,4,4,4,NA,4,4,4,4,4,NA,NA,NA,NA,1,1,NA,4,2.5,-1.332861484,-1.662740901,0.637550921
Independent,3,NA,2,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,3,NA,NA,3,2.1,2,3,3,2.333333333,-0.232861484,-0.290494037,0.428061571
Democrat,1,NA,4,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2.888888889,NA,3,3,2,0.556027405,0.693642602,0.009082872
Democrat,2,NA,1,2,NA,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.428571429,4,3,4,1.333333333,0.095709945,0.119397883,-0.828874527
Democrat,2,2,3,1,1,1,3,2,3,1,NA,3,3,NA,NA,3,NA,NA,3,2.785714286,4,NA,3,1.5,0.452852802,0.564932579,-0.619385178
Independent,2,2,1,1,3,3,3,1,3,2,NA,2,2,NA,NA,2,NA,2,NA,2.928571429,4,NA,2,2,0.595709945,0.743146457,0.009082872
Democrat,4,NA,1,2,2,4,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,2.125,4,4,4,1,-0.207861484,-0.259306608,-1.247853227
Republican,4,4,3,4,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.222222222,2,NA,3,2.5,-1.110639262,-1.385519312,0.637550921
Independent,3,NA,2,3,4,NA,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.875,3,3,3,2,-0.457861484,-0.571180896,0.009082872
Republican,4,NA,4,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,NA,2,3,-0.132861484,-0.165744322,1.26601897
Republican,4,4,4,4,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.166666667,1,NA,1,4,-1.166194817,-1.454824709,2.522955068
Democrat,NA,NA,1,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,1,0.667138516,0.832253397,-1.247853227
Independent,4,4,4,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2,NA,4,2,-0.932861484,-1.163742041,0.009082872
Republican,2,NA,3,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,2,2,2,3,-0.582861484,-0.727118039,1.26601897
Independent,2,NA,1,2,1,2,2,2,2,NA,NA,3,4,3,NA,NA,2,NA,2,2.846153846,4,2,4,1.666666667,0.513292362,0.640330758,-0.409895828
Democrat,2,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.222222222,4,NA,4,1,0.889360738,1.109474985,-1.247853227
Democrat,2,1,1,2,2,2,2,2,2,2,NA,3,3,NA,NA,NA,2,NA,3,2.928571429,4,NA,4,1,0.595709945,0.743146457,-1.247853227
Republican,4,NA,4,4,4,4,4,4,4,NA,4,4,NA,NA,NA,4,NA,4,NA,1,1,2,1,3.666666667,-1.332861484,-1.662740901,2.103976369
Republican,4,NA,3,4,NA,NA,4,4,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1.428571429,2,2,4,2.333333333,-0.904290055,-1.128099266,0.428061571
Independent,3,2,1,2,2,1,2,1,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,3.363636364,4,NA,4,1,1.03077488,1.285888723,-1.247853227
Republican,4,4,3,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.333333333,2,NA,2,3,-0.999528151,-1.246908518,1.26601897
Democrat,2,1,1,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3.6,4,NA,4,1,1.267138516,1.580751686,-1.247853227
Republican,3,NA,4,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,2.666666667,-0.332861484,-0.415243752,0.84704027
Independent,4,4,4,3,3,3,4,4,4,NA,4,NA,2,NA,4,4,NA,NA,NA,1.384615385,2,NA,3,2.5,-0.948246099,-1.182934305,0.637550921
